specobjid,z,z_noqso,snMedian,run2d,ra,dec,plate,mjd,fiberid
6078800217422929920,0.02693885,0.02693885,57.74194,v5_10_0,185.74136,10.549172,5399,55956,242
1701331290810247168,0.004194915,0,57.71265,26,40.667412,-0.011667,1511,52946,351
2723612142354851840,0.01441633,0,57.70551,26,120.4884,8.5518795,2419,54139,219
466190763047282688,0.02383363,0,57.68788,26,50.888579,-0.43854649,414,51901,248
2661667849524766720,0.02865113,0,57.68567,26,151.82178,21.008822,2364,53737,147
2027865373839222784,0.02337721,0,57.68353,26,203.17728,7.3272559,1801,54156,435
1479537807000102912,0.04096921,0,57.67498,26,180.44575,58.119832,1314,53050,383
1351159097809987584,0.0287631,0,57.66076,26,135.75892,40.433984,1200,52668,288
5033900501877366784,0.04084911,0.04084911,57.64923,v5_10_0,121.46748,22.350242,4471,55617,7
2967892014131079168,0.0570929,0,57.63978,26,36.458549,-1.2323827,2636,54082,72
828782490159179776,0.0240297,0,57.60015,26,333.71414,13.715226,736,52210,437
2027865098961315840,0.02280876,0,57.58159,26,203.2052,7.1700856,1801,54156,434
564099805203163136,0.02091974,0,57.54775,26,151.45763,0.63335849,501,52235,87
2519781104492242944,0.01869854,0,57.54681,26,192.61082,26.708983,2238,54205,62
2027802426798532608,0.03813086,0,57.5364,26,203.33858,6.3187015,1801,54156,206
610250152451532800,0.06307887,0,57.51721,26,116.39232,33.921343,542,51993,45
1938935493894891520,0.03448116,0,57.51327,26,233.14555,10.319044,1722,53852,494
3055753440664774656,2.764912E-05,0,57.49619,26,117.72476,17.52584,2714,54208,222
443766223600117760,0.08651891,0,57.47681,26,13.859371,0.6059084,394,51913,588
2741697729024518144,0.02899133,0,57.47309,26,136.23389,17.45514,2435,53828,478
2662777806546561024,0.004303999,0,57.46391,26,154.14224,21.123053,2365,53739,89
2751792074662635520,-0.0001254213,0,57.46379,26,38.858933,28.884049,2444,54082,337
466293841725515776,0.0236272,0,57.46326,26,53.005724,0.27945532,414,51869,623
1874628892380129280,0.04676351,0,57.45211,26,51.017655,40.873786,1665,52976,20
7192505721602154496,0.05173951,0.05173951,57.45147,v5_10_0,118.18416,45.949279,6388,56309,935
654167126856198144,0.02916876,0,57.43008,26,167.58338,4.6882716,581,52356,70
1432292890842785792,0.05076645,0,57.42867,26,136.66298,33.868781,1272,52989,539
862603468450326528,0.02660123,0,57.38541,26,140.62266,50.430165,766,52247,597
3105367533763454976,0.01676689,0,57.37984,26,213.07011,18.29946,2758,54523,493
2837371745999022080,0.03423649,0,57.3558,26,237.05266,11.279517,2520,54584,378
2936394036228941824,0.02390242,0,57.3249,26,180.79822,19.72882,2608,54474,171
640708553232902144,0.02769101,0,57.32011,26,143.23513,2.9393187,569,52264,260
2169639412772661248,0.01481078,0,57.31883,26,125.72104,21.077978,1927,53321,110
6514532282413326336,0.02581968,0.02581968,57.30958,v5_10_0,145.33523,21.282472,5786,56251,274
1874676171380123648,0.01074807,0,57.27499,26,49.68814,41.488764,1665,52976,192
749937609819580416,0.0176428,0,57.26556,26,29.935314,-7.8391473,666,52149,321
2967889815107823616,0.04115229,0,57.26284,26,36.272778,-0.60406761,2636,54082,64
654292471181764608,0.02039758,0,57.26239,26,167.13176,5.8254785,581,52356,526
461698157110126592,0.02290469,0,57.2439,26,42.983857,-0.8362894,410,51816,288
675563897356314624,0.008393314,0,57.23048,26,188.19853,63.939216,600,52317,87
2815997231566448640,0.0335712,0,57.2299,26,173.0051,25.644166,2501,54084,442
597988949121591296,0.01634948,0,57.22743,26,209.69012,2.8442825,531,52028,495
738701425600653312,0.01959419,0,57.21894,26,11.246839,-8.8896837,656,52148,404
369350733067216896,0.06527424,0,57.21064,26,174.97302,-3.5184328,328,52282,202
2695444585508792320,-0.0003478045,0,57.20027,26,169.80059,58.399628,2394,54551,146
4731094721824268288,0.05012565,0.05012565,57.18781,v5_10_0,336.55293,-0.63951204,4202,55445,230
1875846601759549440,0.01342772,0,57.17499,26,48.789326,42.055339,1666,52991,354
439272794237200384,0.04461263,0,57.1554,26,6.7043845,0.038119636,390,51900,625
1792554197892229120,0.01711837,0,57.14478,26,139.93956,33.744998,1592,52990,442
4154591084154953728,0.04257756,0.04257756,57.1081,v5_10_0,126.74311,52.642982,3690,55182,74
6492164917319147520,0.02658494,0.02658494,57.08592,v5_10_0,144.40223,19.714336,5766,56248,822
660950833185187840,0.02766503,0,57.08444,26,221.31813,3.4039978,587,52026,173
968390781901498368,0.04038014,0,57.07541,26,120.76516,30.206859,860,52319,425
4723332994483331072,0.05026669,0.05026669,57.05018,v5_10_0,324.34201,0.39628538,4195,55452,665
6911021678769184768,0.2054897,0.2054897,57.02945,v5_10_0,356.85735,17.243379,6138,56598,902
3243838103667894272,0.01111757,0,57.00514,26,174.49481,59.616962,2881,54502,438
1874636314083616768,0.02006902,0,57.00094,26,50.675212,40.902251,1665,52976,47
443731588983842816,0.0679312,0,56.96748,26,12.85943,0.65196174,394,51913,462
4945141054959493120,0.05454317,0.05454317,56.96652,v5_10_0,36.131091,-8.0111799,4392,55833,686
433527845596194816,0.03604234,0,56.96092,26,355.28238,-1.037554,385,51877,205
2638142148947503104,0.0212148,0,56.95444,26,152.66799,24.414148,2343,53735,577
2068291106751145984,0.01854437,0,56.94992,26,241.12811,3.868477,1837,53494,47
534954496200042496,0.02487989,0,56.93854,26,142.4431,2.0643525,475,51965,553
2049241255145138176,0.03416791,0,56.92001,26,232.92591,7.2873909,1820,54208,376
458342447689263104,0.02217409,0,56.90205,26,37.48496,1.1790886,407,51820,368
839943633162496000,0.03989184,0,56.89536,26,352.58199,13.449285,746,52238,81
637379506465695744,0.01239375,0,56.86383,26,135.9163,3.369799,566,52238,437
7061818044671041536,0.0776978,0.0776978,56.8578,v5_10_0,31.846543,28.579975,6272,56325,632
1875900477829310464,0.01689081,0,56.85016,26,50.133659,41.758467,1666,52991,550
1875877388085127168,0.01260253,0,56.84917,26,49.460026,41.967604,1666,52991,466
1875837255910713344,0.02719455,0,56.84255,26,48.847673,40.658228,1666,52991,320
6910980721961050112,0.1172632,0.1172632,56.83022,v5_10_0,356.20987,16.779773,6138,56598,753
738676961466935296,0.0131189,0,56.81596,26,10.391239,-10.021442,656,52148,315
1875846326881642496,0.0496169,0,56.79144,26,48.705318,41.993608,1666,52991,353
1792567117153855488,0.02350282,0,56.78666,26,139.90015,33.428333,1592,52990,489
622766443166984192,0.02522517,0,56.76633,26,138.35789,52.981313,553,51999,523
486496543503837184,0.04167123,0,56.74918,26,114.86075,40.063455,432,51884,392
2838536952674805760,0.01581164,0,56.74788,26,239.37787,15.956055,2521,54538,521
2937489149843761152,0.02532722,0,56.74308,26,182.84154,19.088458,2609,54476,59
